DATE,TOTAL AMOUNT
2024-02-24,687.0
2024-02-25,931.0
2024-02-26,954.0
2024-02-27,1816.0
2024-02-28,1285.0
2024-02-29,1164.0
2024-03-01,1388.0
2024-03-02,1261.0
2024-03-03,723.0
2024-03-04,1042.5
2024-03-05,1200.0
2024-03-06,1555.0
2024-03-07,1009.0
2024-03-08,1383.5
2024-03-09,1473.0
2024-03-10,1151.0
2024-03-11,1234.5
2024-03-12,989.5
2024-03-13,1536.0
2024-03-14,1237.0
2024-03-15,525.5
2024-03-16,1194.0
2024-03-17,663.0
2024-03-18,1420.0
2024-03-19,1805.5
2024-03-20,1808.0
2024-03-21,1308.0
2024-03-22,1633.0
2024-03-23,1597.0
2024-03-24,664.0
2024-03-25,1120.0
2024-03-26,1059.0
2024-03-27,1384.5
2024-03-28,1068.5
2024-03-29,1031.0
2024-03-30,1158.0
2024-03-31,1322.0
2024-04-01,1580.5
2024-04-02,1964.0
2024-04-03,1573.5
2024-04-04,1305.5
2024-04-05,1184.0
2024-04-06,1299.5
2024-04-07,1331.5
2024-04-08,1784.5
2024-04-09,2200.6
2024-04-10,1292.0
2024-04-11,860.0
2024-04-12,1100.0
2024-04-13,2004.0
2024-04-14,1541.0
2024-04-15,2226.0
2024-04-16,1020.0
2024-04-17,1136.5
2024-04-18,959.0
2024-04-19,878.0
2024-04-20,1108.0
2024-04-21,1074.0
2024-04-22,782.0
2024-04-23,792.0
2024-04-24,1512.0
2024-04-25,928.0
2024-04-26,823.5
2024-04-27,743.5
2024-04-28,1274.0
2024-04-29,465.5
2024-04-30,1366.5
2024-05-01,898.0
2024-05-02,966.0
2024-05-03,614.0
2024-05-04,1506.0
2024-05-05,364.5
2024-05-06,738.0
2024-05-07,1740.0
2024-05-08,1312.0
2024-05-09,1576.0
2024-05-10,1864.0
2024-05-11,881.0
2024-05-12,1263.0
2024-05-13,1407.5
2024-05-14,989.0
2024-05-15,666.0
2024-05-16,601.9
2024-05-17,2511.5
2024-05-18,1196.0
2024-05-19,812.5
2024-05-20,1929.0
2024-05-21,1076.0
2024-05-22,1248.5
2024-05-23,1577.0
2024-05-24,1132.0
2024-05-25,1043.5
2024-05-26,1266.5
2024-05-27,1136.5
2024-05-28,1295.0
2024-05-29,2010.0
2024-05-30,734.0
2024-05-31,1452.0
2024-06-01,1058.5
2024-06-02,642.0
2024-06-03,1747.0
2024-06-04,1254.0
2024-06-05,803.0
2024-06-06,1072.5
2024-06-07,782.0
2024-06-08,2045.0
2024-06-09,788.0
2024-06-10,2058.5
2024-06-11,1165.4
2024-06-12,947.0
2024-06-13,1734.9
2024-06-14,959.5
2024-06-15,936.0
2024-06-16,788.0
2024-06-17,1165.0
2024-06-18,2523.0
2024-06-19,2533.0
2024-06-20,1673.9
2024-06-21,1108.4
2024-06-22,1504.2
2024-06-23,1501.0
2024-06-24,1358.3
2024-06-25,1643.5
2024-06-26,1598.6
2024-06-27,907.5
2024-06-28,1993.3
2024-06-29,2288.3
2024-06-30,817.4
2024-07-01,1464.2
2024-07-02,2028.1
2024-07-03,1646.2
2024-07-04,959.2
2024-07-05,1605.2
2024-07-06,2219.3
2024-07-07,901.5
2024-07-08,1384.0
2024-07-09,1257.7
2024-07-10,1210.3
2024-07-11,1391.2
2024-07-12,1497.5
2024-07-13,1849.2
2024-07-14,1383.6
2024-07-15,1781.1
2024-07-16,1034.1
2024-07-17,1878.1
2024-07-18,1072.7
2024-07-19,1507.6
2024-07-20,919.9
2024-07-21,1626.8
2024-07-22,1980.6
2024-07-23,1576.3
2024-07-24,1905.3
2024-07-25,2200.4
2024-07-26,1393.3
2024-07-27,1040.5
2024-07-28,2153.2
2024-07-29,1807.5
2024-07-30,2757.8
2024-07-31,1583.9
2024-08-01,1306.0
2024-08-02,708.4
2024-08-03,1858.6
2024-08-04,1408.4
2024-08-05,1592.2
2024-08-06,1862.8
2024-08-07,1926.0
2024-08-08,1455.9
2024-08-09,1044.0
2024-08-10,1392.5
2024-08-11,834.7
2024-08-12,1192.9
2024-08-13,571.9
2024-08-14,1300.5
2024-08-15,1136.4
2024-08-16,1057.6
2024-08-17,909.7
2024-08-18,673.6
2024-08-19,690.9
2024-08-20,1952.5
2024-08-21,1092.0
2024-08-22,1232.2
2024-08-23,1396.3
2024-08-24,1081.8
2024-08-25,812.7
2024-08-26,1563.6
2024-08-27,1483.5
